11:00:00 AM,11:35:00 AM,12:16:00 PM,12:51:00 PM,1:26:00 AM,2:00:00 AM
89.05,15.85376,22.44,6.19E+00,1.04E+01,5.44E+00
6.00,4.327209,5.84,1.80E+01,2.97E+00,1.60E+00
39.22,71.89368,13.19,1.36E+01,4.71E+00,6.12E+00
9.01,10.41058,3.31,1.60E+01,4.03E-01,2.21E+01
14.46,8.464539,-0.20,2.26E+01,8.13E+00,4.21E+01
3.42,7.824646,43.02,4.33E+00,1.06E+01,1.50E+01
2.89,12.00134,10.66,1.28E+01,6.82E+00,3.19E+01
3.84,23.02979,14.06,1.63E+01,6.26E+00,6.18E+00
46.62,172.7454,19.44,1.87E+01,7.07E+00,5.05E+00
3.72,12.11627,14.03,1.35E+01,8.60E+00,1.04E+01
6.76,16.56683,20.05,2.65E+01,2.16E+00,2.42E+01
15.34,9.913208,2.97,1.20E+01,1.09E+01,1.12E+01
1.46,11.96442,49.73,6.07E+00,1.43E+00,3.04E+00
6.15,21.54602,17.78,1.01E+01,1.34E+00,2.36E+00
113.13,19.04913,8.52,9.51E+00,9.66E+00,1.29E+01
5.93,30.98761,15.39,2.50E+01,7.05E+00,9.08E+00
35.04,9.197571,2.96,2.15E+01,9.37E+00,5.45E+00
14.20,12.36353,7.55,9.66E+00,1.59E+01,1.36E+00
0.57,22.67932,5.70,6.22E+01,7.02E+00,4.68E+01
13.91,12.86475,4.35,1.43E+01,4.72E+00,2.64E+00
7.48,37.06323,1.93,9.08E+00,-1.95E+00,1.17E+01
5.15,4.78363,9.70,3.27E+00,4.37E-01,7.88E+00
44.32,27.69354,2.44,2.80E+01,4.62E+00,7.95E+00
32.46,12.40332,3.80,7.76E+00,2.67E+00,4.53E+00
26.58,11.9527,13.97,9.29E+00,9.48E+00,6.67E+00
1.78,4.964294,1.74,7.45E+01,9.58E+00,2.02E+01
0.50,47.55219,26.86,1.10E+01,8.19E+00,2.64E+01
6.70,12.25562,5.10,3.72E+00,1.73E+02,8.85E+00
8.66,12.68597,2.41,7.21E+00,5.41E+00,5.78E+00
5.39,8.630737,9.43,1.10E+01,9.38E+00,2.94E+00
10.33,11.06274,-0.21,1.69E+01,4.43E+00,4.03E+01
0.80,38.6579,7.15,1.02E+01,4.19E+00,1.43E+01
1.38,14.67688,10.96,9.82E+00,1.64E+00,5.43E+00
0.78,24.01404,6.33,5.21E+00,-1.98E-01,5.59E-01
27.88,7.565247,13.08,2.10E+01,2.81E+00,1.73E+01
14.97,17.89532,7.26,8.87E+00,5.52E-01,8.60E+00
13.56,42.36371,7.36,7.46E+00,2.89E+00,4.77E+00
43.27,28.24713,28.50,1.03E+01,2.58E+00,7.11E+00
11.81,9.794067,4.24,1.56E+01,8.29E+01,8.29E+00
8.12,28.04578,3.77,6.71E+00,2.27E+00,4.73E+00
19.33,37.20483,26.00,7.32E+00,4.69E+01,1.16E+01
107.64,52.95941,9.22,1.51E+01,6.77E+00,4.29E+00
23.65,17.39728,9.68,2.37E+01,1.91E+01,7.38E+00
13.27,32.61169,9.89,1.50E+01,8.69E+00,8.58E+00
2.68,21.27808,8.55,1.67E+01,5.03E+00,5.90E-01
9.76,2.390381,2.99,1.11E+01,1.91E+01,2.08E+00
7.97,36.63397,16.84,1.14E+01,8.43E+00,1.43E+01
21.52,7.857544,9.62,5.81E+00,8.51E-01,1.49E+01
43.28,5.614258,34.32,5.05E+00,4.25E+00,2.15E+00
11.66,13.08215,6.51,8.21E+00,3.52E+01,2.01E+00
5.20,12.6189,11.39,1.34E+01,2.43E+01,6.03E+00
23.67,17.76843,1.83,4.98E+00,2.92E+00,6.63E+01
91.80,14.30371,4.08,9.44E+00,2.23E+01,4.62E+00
3.13,25.12482,4.27,1.07E+01,2.27E+01,-3.15E-01
